report_section,report_title,campaign_id,campaign_name,recommended_action,evidence_status,commercial_status,channel,objective,spend,roas,target_roas,estimated_lift_pp,lift_ci_lower_pp,lift_ci_upper_pp,treated_n,treated_conversions,control_n,control_conversions,control_exposure_n
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,79,Retention - Paid Social - Feb 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,6901.46,0.06,1.0,0.43,-2.94,3.81,628,13,61,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,75,Acquisition - Paid Social - Jan 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Acquisition,6898.85,0.06,1.0,1.33,-0.59,3.25,916,20,117,1,40
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,7,Acquisition - Paid Social - Jan 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Acquisition,6896.76,0.06,1.0,1.57,0.42,2.73,445,7,52,0,14
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,11,Acquisition - Paid Social - Feb 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Acquisition,6865.69,0.02,1.0,1.39,0.37,2.42,502,7,65,0,24
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,43,Acquisition - Paid Social - Jul 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Acquisition,6537.47,0.05,1.0,0.69,0.09,1.29,725,5,85,0,34
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,32,Retention - Display - May 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,6233.74,0.02,1.0,0.82,-0.1,1.74,367,3,41,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,3,Acquisition - Paid Social - Jan 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Acquisition,6206.18,0.08,1.0,1.51,0.4,2.61,465,7,57,0,16
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,68,Retention - Display - Dec 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,6046.71,0.14,1.0,-0.39,-3.55,2.77,1134,31,128,4,77
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,56,Retention - Display - Sep 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,6024.58,0.07,1.0,1.01,-0.87,2.9,1062,20,115,1,71
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,19,Retention - Paid Social - Mar 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,5956.74,0.1,1.0,-1.35,-6.28,3.58,556,12,57,2,27
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,20,Retention - Display - Mar 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,5924.59,0.08,1.0,0.95,-4.84,6.74,295,11,36,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,63,Retention - Paid Social - Nov 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,5865.12,0.21,1.0,0.62,-2.58,3.83,886,25,91,2,32
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,88,Winback - Display - Mar 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Winback,5828.74,0.12,1.0,0.73,-3.3,4.77,557,15,51,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,87,Retention - Paid Social - Mar 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,5798.43,0.21,1.0,3.41,2.3,4.52,1026,35,105,0,31
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,96,Retention - Display - Apr 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,5779.84,0.01,1.0,0.29,-3.09,3.67,570,11,61,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,35,Winback - Paid Social - Jun 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Winback,5603.95,0.14,1.0,2.39,1.27,3.52,710,17,83,0,29
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,48,Acquisition - Display - Aug 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Acquisition,5527.3,0.0,1.0,1.0,0.02,1.97,402,4,49,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,95,Retention - Paid Social - Apr 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,5501.94,0.22,1.0,1.75,-0.76,4.27,1087,37,121,2,43
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,44,Winback - Display - Jul 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Winback,5487.95,0.04,1.0,1.25,0.16,2.34,399,5,42,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,31,Retention - Paid Social - May 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,5455.72,0.1,1.0,-0.15,-3.1,2.79,694,9,69,1,24
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,47,Cross-sell - Paid Social - Aug 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Cross-sell,5241.83,0.18,1.0,2.78,1.66,3.9,827,23,88,0,33
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,107,Winback - Paid Social - Jun 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Winback,5182.81,0.2,1.0,0.8,-2.09,3.69,1149,37,124,3,38
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,100,Winback - Display - May 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Winback,5163.25,0.2,1.0,-0.28,-2.28,1.71,2333,45,226,5,163
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,51,Cross-sell - Paid Social - Sep 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Cross-sell,5097.88,0.41,1.0,-0.56,-2.65,1.53,1885,37,238,6,167
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,60,Retention - Display - Oct 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,4981.47,0.06,1.0,1.81,0.57,3.05,442,8,54,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,12,Cross-sell - Display - Feb 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Cross-sell,4968.0,0.04,1.0,-1.11,-6.67,4.46,299,5,36,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,27,Acquisition - Paid Social - May 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Acquisition,4927.47,0.12,1.0,-1.01,-4.22,2.2,961,17,108,3,68
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,111,Cross-sell - Paid Social - Jul 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Cross-sell,4880.62,0.73,1.0,0.73,-1.21,2.66,2797,99,320,9,224
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,76,Acquisition - Display - Jan 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Acquisition,4876.79,0.03,1.0,0.81,0.02,1.6,495,4,54,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,112,Acquisition - Display - Jul 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Acquisition,4835.2,0.04,1.0,0.91,-2.63,4.45,576,15,59,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,15,Winback - Paid Social - Mar 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Winback,4797.33,0.18,1.0,2.87,1.76,3.98,871,25,102,0,60
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,104,Retention - Display - Jun 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,4674.2,0.16,1.0,2.71,1.44,3.98,627,17,62,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,55,Retention - Paid Social - Sep 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,4538.75,0.41,1.0,-1.76,-4.28,0.75,1974,36,223,8,167
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,64,Acquisition - Display - Nov 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Acquisition,4271.42,0.06,1.0,-2.09,-7.17,2.98,453,7,55,2,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,4,Winback - Display - Jan 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Winback,4256.0,0.06,1.0,1.93,0.25,3.61,259,5,32,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,52,Cross-sell - Display - Sep 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Cross-sell,4228.35,0.2,1.0,0.21,-2.45,2.88,1025,21,109,2,66
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,24,Retention - Display - Apr 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,3998.03,0.27,1.0,-1.92,-5.03,1.19,1298,25,156,6,121
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,92,Retention - Display - Apr 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,3944.39,0.08,1.0,-0.16,-3.72,3.4,566,9,57,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,72,Winback - Display - Dec 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Winback,3894.49,0.17,1.0,0.98,-1.09,3.04,981,19,104,1,56
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,84,Winback - Display - Feb 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Winback,3791.49,0.29,1.0,1.25,-0.33,2.83,2103,53,236,3,169
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,40,Acquisition - Display - Jul 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Acquisition,3731.56,0.09,1.0,-1.38,-3.97,1.2,1508,23,172,5,125
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,28,Retention - Display - May 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,3666.76,0.08,1.0,-0.58,-2.45,1.29,1361,10,152,2,113
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,108,Acquisition - Display - Jun 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Acquisition,3438.44,0.08,1.0,-0.34,-4.89,4.21,569,11,44,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,8,Retention - Display - Jan 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Retention,3319.15,0.03,1.0,1.38,0.04,2.73,289,4,32,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,16,Acquisition - Display - Mar 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Acquisition,3190.12,0.14,1.0,-0.95,-3.59,1.7,1192,16,131,3,93
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,36,Winback - Display - Jun 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Display,Winback,3166.44,0.04,1.0,0.82,-0.1,1.74,366,3,35,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,10,Winback - SMS - Feb 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Winback,1259.18,0.76,1.0,5.39,2.97,7.81,334,18,41,0,22
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,110,Acquisition - SMS - Jul 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Acquisition,1257.16,0.72,1.0,-2.52,-9.56,4.53,509,19,48,3,15
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,78,Cross-sell - SMS - Feb 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Cross-sell,1226.46,0.56,1.0,0.61,-3.97,5.19,407,15,65,2,22
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,38,Winback - SMS - Jul 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Winback,1145.63,0.95,1.0,5.83,3.41,8.25,360,21,38,0,12
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,14,Retention - SMS - Mar 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Retention,1074.89,0.29,1.0,4.43,1.22,7.64,158,7,23,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,34,Acquisition - SMS - Jun 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Acquisition,944.98,0.88,1.0,1.39,-3.38,6.15,410,15,44,1,22
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,26,Winback - SMS - May 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Winback,936.05,0.46,1.0,3.98,1.28,6.68,201,8,15,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,46,Acquisition - SMS - Aug 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Acquisition,786.41,0.96,1.0,3.51,1.87,5.14,485,17,51,0,29
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,66,Acquisition - SMS - Dec 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Acquisition,766.56,0.35,1.0,3.83,1.5,6.16,261,10,33,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,82,Acquisition - SMS - Feb 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Acquisition,765.99,0.42,1.0,2.38,0.64,4.12,294,7,28,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,2,Acquisition - SMS - Jan 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Acquisition,737.63,0.57,1.0,3.31,1.18,5.43,272,9,22,0,8
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,22,Acquisition - SMS - Apr 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,SMS,Acquisition,645.05,0.72,1.0,3.3,1.18,5.41,273,9,28,0,6
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,94,Cross-sell - SMS - Apr 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Cross-sell,1254.9,2.07,1.0,2.3,-1.57,6.17,658,32,78,2,41
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,42,Winback - SMS - Jul 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Winback,1179.29,1.56,1.0,5.57,3.49,7.65,467,26,61,0,34
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,70,Retention - SMS - Dec 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Retention,1103.86,3.37,1.0,4.6,2.2,7.0,1036,58,100,1,73
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,58,Cross-sell - SMS - Oct 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Cross-sell,1077.49,1.99,1.0,1.55,-3.58,6.67,534,27,57,2,33
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,106,Retention - SMS - Jun 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Retention,1034.07,2.83,1.0,1.35,-3.63,6.34,722,45,82,4,43
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,18,Winback - SMS - Mar 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Winback,1022.49,1.09,1.0,2.85,-1.12,6.81,372,17,58,1,23
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,62,Acquisition - SMS - Nov 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Acquisition,1014.31,1.35,1.0,2.16,-2.38,6.7,539,28,66,2,31
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,90,Acquisition - SMS - Apr 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Acquisition,924.96,1.06,1.0,2.35,-0.71,5.4,619,23,73,1,33
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,54,Retention - SMS - Sep 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Retention,909.17,1.4,1.0,5.69,2.8,8.59,246,14,36,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,6,Winback - SMS - Jan 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Winback,860.93,1.08,1.0,1.77,-4.2,7.75,324,15,35,1,19
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,74,Retention - SMS - Jan 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Retention,858.37,2.54,1.0,7.35,5.29,9.42,612,45,58,0,26
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,30,Cross-sell - SMS - May 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Cross-sell,790.75,1.73,1.0,3.57,1.85,5.29,448,16,42,0,21
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,86,Acquisition - SMS - Mar 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Acquisition,782.85,1.17,1.0,-1.52,-7.04,4.01,632,21,62,3,40
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,50,Retention - SMS - Sep 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Retention,761.2,1.48,1.0,5.49,2.59,8.38,237,13,32,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,102,Acquisition - SMS - Jun 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Acquisition,687.37,1.06,1.0,3.38,2.02,4.74,680,23,77,0,45
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,98,Retention - SMS - May 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,SMS,Retention,647.86,1.17,1.0,-2.63,-12.76,7.49,356,17,27,2,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,25,Acquisition - Email - May 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Acquisition,556.22,1.41,1.0,2.6,1.38,3.82,653,17,79,0,10
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,57,Cross-sell - Email - Oct 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Cross-sell,538.85,11.37,1.0,2.55,1.11,3.99,2468,90,274,3,183
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,13,Cross-sell - Email - Mar 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Cross-sell,517.01,2.04,1.0,1.44,-1.69,4.56,589,17,69,1,13
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,77,Retention - Email - Feb 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,511.27,7.99,1.0,3.52,1.87,5.18,1800,81,205,2,101
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,65,Retention - Email - Dec 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,506.24,3.08,1.0,2.23,0.19,4.28,962,30,113,1,18
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,29,Acquisition - Email - May 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Acquisition,485.06,3.8,1.0,0.96,-0.78,2.69,1898,45,212,3,148
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,9,Cross-sell - Email - Feb 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Cross-sell,477.07,10.44,1.0,1.54,-0.8,3.89,1519,57,181,4,116
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,89,Retention - Email - Apr 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,471.79,12.38,1.0,1.2,-0.56,2.96,3046,109,336,8,214
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,93,Winback - Email - Apr 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Winback,470.91,13.71,1.0,1.62,-0.16,3.41,3115,130,353,9,241
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,41,Winback - Email - Jul 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Winback,468.74,8.81,1.0,2.84,1.39,4.29,2180,81,228,2,152
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,109,Winback - Email - Jul 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Winback,467.83,9.31,1.0,3.14,1.64,4.63,2036,82,225,2,106
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,53,Retention - Email - Sep 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,462.77,3.96,1.0,0.51,-3.41,4.43,923,30,73,2,10
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,49,Retention - Email - Sep 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,459.73,4.41,1.0,2.37,-0.16,4.89,885,31,88,1,9
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,5,Retention - Email - Jan 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,448.39,5.81,1.0,3.29,2.37,4.2,1460,48,161,0,104
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,45,Acquisition - Email - Aug 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Acquisition,436.8,6.09,1.0,1.34,-0.4,3.09,2117,63,245,4,164
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,21,Cross-sell - Email - Apr 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Cross-sell,423.82,4.41,1.0,-0.19,-3.08,2.71,1133,30,141,4,81
